[14:03:32][jominiapplication.cpp:435]: ================ 删除存档 ================
[14:05:51][jominiapplication.cpp:435]: Processing Tick: 1843.6.9.18
[14:05:52][jominiapplication.cpp:435]: Processing Tick: 1843.6.10
[14:05:52][jominiapplication.cpp:435]: Processing Tick: 1843.6.10.6
[14:05:53][jominiapplication.cpp:435]: Processing Tick: 1843.6.10.12
[14:05:53][jominiapplication.cpp:435]: Processing Tick: 1843.6.10.18
[14:05:54][jominiapplication.cpp:435]: Processing Tick: 1843.6.11
[14:05:54][jominiapplication.cpp:435]: Processing Tick: 1843.6.11.6
[14:05:55][jominiapplication.cpp:435]: Processing Tick: 1843.6.11.12
[14:05:55][jominiapplication.cpp:435]: Processing Tick: 1843.6.11.18
[14:05:56][jominiapplication.cpp:435]: Processing Tick: 1843.6.12
[14:05:56][jominiapplication.cpp:435]: Processing Tick: 1843.6.12.6
[14:05:57][jominiapplication.cpp:435]: Processing Tick: 1843.6.12.12
[14:05:57][jominiapplication.cpp:435]: Processing Tick: 1843.6.12.18
[14:05:58][jominiapplication.cpp:435]: Processing Tick: 1843.6.13
[14:05:58][jominiapplication.cpp:435]: Processing Tick: 1843.6.13.6
[14:05:59][jominiapplication.cpp:435]: Processing Tick: 1843.6.13.12
[14:05:59][jominiapplication.cpp:435]: Processing Tick: 1843.6.13.18
[14:06:00][jominiapplication.cpp:435]: Processing Tick: 1843.6.14
[14:06:00][jominiapplication.cpp:435]: Processing Tick: 1843.6.14.6
[14:06:01][jominiapplication.cpp:435]: Processing Tick: 1843.6.14.12
[14:06:01][jominiapplication.cpp:435]: Processing Tick: 1843.6.14.18
[14:06:02][jominiapplication.cpp:435]: Processing Tick: 1843.6.15
[14:06:02][jominiapplication.cpp:435]: Processing Tick: 1843.6.15.6
[14:06:03][jominiapplication.cpp:435]: Processing Tick: 1843.6.15.12
[14:06:03][jominiapplication.cpp:435]: Processing Tick: 1843.6.15.18
[14:06:04][jominiapplication.cpp:435]: Processing Tick: 1843.6.16
[14:06:05][jominiapplication.cpp:435]: Processing Tick: 1843.6.16.6
[14:06:05][jominiapplication.cpp:435]: Processing Tick: 1843.6.16.12
[14:06:06][jominiapplication.cpp:435]: Processing Tick: 1843.6.16.18
[14:06:06][jominiapplication.cpp:435]: Processing Tick: 1843.6.17
[14:06:07][jominiapplication.cpp:435]: Processing Tick: 1843.6.17.6
[14:06:07][jominiapplication.cpp:435]: Processing Tick: 1843.6.17.12
[14:06:08][jominiapplication.cpp:435]: Processing Tick: 1843.6.17.18
[14:06:08][jominiapplication.cpp:435]: Processing Tick: 1843.6.18
[14:06:09][jominiapplication.cpp:435]: Processing Tick: 1843.6.18.6
[14:06:09][jominiapplication.cpp:435]: Processing Tick: 1843.6.18.12
[14:06:10][jominiapplication.cpp:435]: Processing Tick: 1843.6.18.18
[14:06:10][jominiapplication.cpp:435]: Processing Tick: 1843.6.19
[14:06:11][jominiapplication.cpp:435]: Processing Tick: 1843.6.19.6
[14:06:11][jominiapplication.cpp:435]: Processing Tick: 1843.6.19.12
[14:06:12][jominiapplication.cpp:435]: Processing Tick: 1843.6.19.18
[14:06:12][jominiapplication.cpp:435]: Processing Tick: 1843.6.20
[14:06:13][jominiapplication.cpp:435]: Processing Tick: 1843.6.20.6
[14:06:13][jominiapplication.cpp:435]: Processing Tick: 1843.6.20.12
[14:06:14][jominiapplication.cpp:435]: Processing Tick: 1843.6.20.18
[14:06:14][jominiapplication.cpp:435]: Processing Tick: 1843.6.21
[14:06:15][jominiapplication.cpp:435]: Processing Tick: 1843.6.21.6
[14:06:15][jominiapplication.cpp:435]: Processing Tick: 1843.6.21.12
[14:06:16][jominiapplication.cpp:435]: Processing Tick: 1843.6.21.18
[14:06:16][jominiapplication.cpp:435]: Processing Tick: 1843.6.22
[14:06:17][jominiapplication.cpp:435]: Processing Tick: 1843.6.22.6
[14:06:17][jominiapplication.cpp:435]: Processing Tick: 1843.6.22.12
[14:06:18][jominiapplication.cpp:435]: Processing Tick: 1843.6.22.18
[14:06:18][jominiapplication.cpp:435]: Processing Tick: 1843.6.23
[14:06:19][jominiapplication.cpp:435]: Processing Tick: 1843.6.23.6
[14:06:20][jominiapplication.cpp:435]: Processing Tick: 1843.6.23.12
[14:06:20][jominiapplication.cpp:435]: Processing Tick: 1843.6.23.18
[14:06:21][jominiapplication.cpp:435]: Processing Tick: 1843.6.24
[14:06:21][jominiapplication.cpp:435]: Processing Tick: 1843.6.24.6
[14:06:22][jominiapplication.cpp:435]: Processing Tick: 1843.6.24.12
[14:06:22][jominiapplication.cpp:435]: Processing Tick: 1843.6.24.18
[14:06:23][jominiapplication.cpp:435]: Processing Tick: 1843.6.25
[14:06:23][jominiapplication.cpp:435]: Processing Tick: 1843.6.25.6
[14:06:24][jominiapplication.cpp:435]: Processing Tick: 1843.6.25.12
[14:06:24][jominiapplication.cpp:435]: Processing Tick: 1843.6.25.18
[14:06:25][jominiapplication.cpp:435]: Processing Tick: 1843.6.26
[14:06:25][jominiapplication.cpp:435]: Processing Tick: 1843.6.26.6
[14:06:26][jominiapplication.cpp:435]: Processing Tick: 1843.6.26.12
[14:06:26][jominiapplication.cpp:435]: Processing Tick: 1843.6.26.18
[14:06:27][jominiapplication.cpp:435]: Processing Tick: 1843.6.27
[14:06:27][jominiapplication.cpp:435]: Processing Tick: 1843.6.27.6
[14:06:28][jominiapplication.cpp:435]: Processing Tick: 1843.6.27.12
[14:06:28][jominiapplication.cpp:435]: Processing Tick: 1843.6.27.18
[14:06:29][jominiapplication.cpp:435]: Processing Tick: 1843.6.28
[14:06:29][jominiapplication.cpp:435]: Processing Tick: 1843.6.28.6
[14:06:30][jominiapplication.cpp:435]: Processing Tick: 1843.6.28.12
[14:06:30][jominiapplication.cpp:435]: Processing Tick: 1843.6.28.18
[14:06:31][jominiapplication.cpp:435]: Processing Tick: 1843.6.29
[14:06:31][jominiapplication.cpp:435]: Processing Tick: 1843.6.29.6
[14:06:32][jominiapplication.cpp:435]: Processing Tick: 1843.6.29.12
[14:06:32][jominiapplication.cpp:435]: Processing Tick: 1843.6.29.18
[14:06:33][jominiapplication.cpp:435]: Processing Tick: 1843.6.30
[14:06:33][jominiapplication.cpp:435]: Processing Tick: 1843.6.30.6
[14:06:34][jominiapplication.cpp:435]: Processing Tick: 1843.6.30.12
[14:06:35][jominiapplication.cpp:435]: Processing Tick: 1843.6.30.18
[14:06:35][jominiapplication.cpp:435]: Processing Tick: 1843.7.1
[14:06:37][jominiapplication.cpp:435]: Processing Tick: 1843.7.1.6
[14:06:37][jominiapplication.cpp:435]: Processing Tick: 1843.7.1.12
[14:06:38][jominiapplication.cpp:435]: Processing Tick: 1843.7.1.18
[14:06:38][jominiapplication.cpp:435]: Processing Tick: 1843.7.2
[14:06:39][jominiapplication.cpp:435]: Processing Tick: 1843.7.2.6
[14:06:39][jominiapplication.cpp:435]: Processing Tick: 1843.7.2.12
[14:06:40][jominiapplication.cpp:435]: Processing Tick: 1843.7.2.18
[14:06:40][jominiapplication.cpp:435]: Processing Tick: 1843.7.3
[14:06:41][jominiapplication.cpp:435]: Processing Tick: 1843.7.3.6
[14:06:41][jominiapplication.cpp:435]: Processing Tick: 1843.7.3.12
[14:06:42][jominiapplication.cpp:435]: Processing Tick: 1843.7.3.18
[14:06:42][jominiapplication.cpp:435]: Processing Tick: 1843.7.4
[14:06:43][jominiapplication.cpp:435]: Processing Tick: 1843.7.4.6
[14:06:43][jominiapplication.cpp:435]: Processing Tick: 1843.7.4.12
[14:06:44][jominiapplication.cpp:435]: Processing Tick: 1843.7.4.18
[14:06:44][jominiapplication.cpp:435]: Processing Tick: 1843.7.5
[14:06:45][jominiapplication.cpp:435]: Processing Tick: 1843.7.5.6
[14:06:45][jominiapplication.cpp:435]: Processing Tick: 1843.7.5.12
[14:06:46][jominiapplication.cpp:435]: Processing Tick: 1843.7.5.18
[14:06:46][jominiapplication.cpp:435]: Processing Tick: 1843.7.6
[14:06:47][jominiapplication.cpp:435]: Processing Tick: 1843.7.6.6
[14:06:47][jominiapplication.cpp:435]: Processing Tick: 1843.7.6.12
[14:06:48][jominiapplication.cpp:435]: Processing Tick: 1843.7.6.18
[14:06:48][jominiapplication.cpp:435]: Processing Tick: 1843.7.7
[14:06:49][jominiapplication.cpp:435]: Processing Tick: 1843.7.7.6
[14:06:50][jominiapplication.cpp:435]: Processing Tick: 1843.7.7.12
[14:06:50][jominiapplication.cpp:435]: Processing Tick: 1843.7.7.18
[14:06:51][jominiapplication.cpp:435]: Processing Tick: 1843.7.8
[14:06:51][jominiapplication.cpp:435]: Processing Tick: 1843.7.8.6
[14:06:52][jominiapplication.cpp:435]: Processing Tick: 1843.7.8.12
[14:06:52][jominiapplication.cpp:435]: Processing Tick: 1843.7.8.18
[14:06:53][jominiapplication.cpp:435]: Processing Tick: 1843.7.9
[14:06:53][jominiapplication.cpp:435]: Processing Tick: 1843.7.9.6
[14:06:54][jominiapplication.cpp:435]: Processing Tick: 1843.7.9.12
[14:06:54][jominiapplication.cpp:435]: Processing Tick: 1843.7.9.18
[14:06:55][jominiapplication.cpp:435]: Processing Tick: 1843.7.10
[14:06:55][jominiapplication.cpp:435]: Processing Tick: 1843.7.10.6
[14:06:56][jominiapplication.cpp:435]: Processing Tick: 1843.7.10.12
[14:06:56][jominiapplication.cpp:435]: Processing Tick: 1843.7.10.18
[14:06:57][jominiapplication.cpp:435]: Processing Tick: 1843.7.11
[14:06:57][jominiapplication.cpp:435]: Processing Tick: 1843.7.11.6
[14:06:58][jominiapplication.cpp:435]: Processing Tick: 1843.7.11.12
[14:06:58][jominiapplication.cpp:435]: Processing Tick: 1843.7.11.18
[14:06:59][jominiapplication.cpp:435]: Processing Tick: 1843.7.12
[14:06:59][jominiapplication.cpp:435]: Processing Tick: 1843.7.12.6
[14:07:00][jominiapplication.cpp:435]: Processing Tick: 1843.7.12.12
[14:07:00][jominiapplication.cpp:435]: Processing Tick: 1843.7.12.18
[14:07:01][jominiapplication.cpp:435]: Processing Tick: 1843.7.13
[14:07:01][jominiapplication.cpp:435]: Processing Tick: 1843.7.13.6
[14:07:02][jominiapplication.cpp:435]: Processing Tick: 1843.7.13.12
[14:07:02][jominiapplication.cpp:435]: Processing Tick: 1843.7.13.18
[14:07:03][jominiapplication.cpp:435]: Processing Tick: 1843.7.14
[14:07:03][jominiapplication.cpp:435]: Processing Tick: 1843.7.14.6
[14:07:04][jominiapplication.cpp:435]: Processing Tick: 1843.7.14.12
