[21:27:04][jominiapplication.cpp:298]: Changing game speed to: 2
[21:27:08][jominiapplication.cpp:298]: ================ 读取存档失败 ================
[21:27:08][jominiapplication.cpp:298]: 无法加载该存档，可能是由于以下原因：
indent_newline:2 •存档创建于不兼容的游戏版本
•存档使用了不同的DLC加载集
•存档文件损坏!
[21:36:04][jominiapplication.cpp:298]: Processing Tick: 1836.2.6
[21:36:04][jominiapplication.cpp:298]: Processing Tick: 1836.2.6.6
[21:36:05][jominiapplication.cpp:298]: Processing Tick: 1836.2.6.12
[21:36:05][jominiapplication.cpp:298]: Processing Tick: 1836.2.6.18
[21:36:06][jominiapplication.cpp:298]: Processing Tick: 1836.2.7
[21:36:06][jominiapplication.cpp:298]: Processing Tick: 1836.2.7.6
[21:36:07][jominiapplication.cpp:298]: Processing Tick: 1836.2.7.12
[21:36:07][jominiapplication.cpp:298]: Processing Tick: 1836.2.7.18
[21:36:08][jominiapplication.cpp:298]: Processing Tick: 1836.2.8
[21:36:08][jominiapplication.cpp:298]: Processing Tick: 1836.2.8.6
[21:36:09][jominiapplication.cpp:298]: Processing Tick: 1836.2.8.12
[21:36:09][jominiapplication.cpp:298]: Processing Tick: 1836.2.8.18
[21:36:10][jominiapplication.cpp:298]: Processing Tick: 1836.2.9
[21:36:10][jominiapplication.cpp:298]: Processing Tick: 1836.2.9.6
[21:36:11][jominiapplication.cpp:298]: Processing Tick: 1836.2.9.12
[21:36:11][jominiapplication.cpp:298]: Processing Tick: 1836.2.9.18
[21:36:12][jominiapplication.cpp:298]: Processing Tick: 1836.2.10
[21:36:12][jominiapplication.cpp:298]: Processing Tick: 1836.2.10.6
[21:36:13][jominiapplication.cpp:298]: Processing Tick: 1836.2.10.12
[21:36:13][jominiapplication.cpp:298]: Processing Tick: 1836.2.10.18
[21:36:14][jominiapplication.cpp:298]: Processing Tick: 1836.2.11
[21:36:15][jominiapplication.cpp:298]: Processing Tick: 1836.2.11.6
[21:36:15][jominiapplication.cpp:298]: Processing Tick: 1836.2.11.12
[21:36:16][jominiapplication.cpp:298]: Processing Tick: 1836.2.11.18
[21:36:16][jominiapplication.cpp:298]: Processing Tick: 1836.2.12
[21:36:17][jominiapplication.cpp:298]: Processing Tick: 1836.2.12.6
[21:36:17][jominiapplication.cpp:298]: Processing Tick: 1836.2.12.12
[21:36:18][jominiapplication.cpp:298]: Processing Tick: 1836.2.12.18
[21:36:18][jominiapplication.cpp:298]: Processing Tick: 1836.2.13
[21:36:19][jominiapplication.cpp:298]: Processing Tick: 1836.2.13.6
[21:36:19][jominiapplication.cpp:298]: Processing Tick: 1836.2.13.12
[21:36:20][jominiapplication.cpp:298]: Processing Tick: 1836.2.13.18
[21:36:20][jominiapplication.cpp:298]: Processing Tick: 1836.2.14
[21:36:21][jominiapplication.cpp:298]: Processing Tick: 1836.2.14.6
[21:36:21][jominiapplication.cpp:298]: Processing Tick: 1836.2.14.12
[21:36:22][jominiapplication.cpp:298]: Processing Tick: 1836.2.14.18
[21:36:22][jominiapplication.cpp:298]: Processing Tick: 1836.2.15
[21:36:23][jominiapplication.cpp:298]: Processing Tick: 1836.2.15.6
[21:36:23][jominiapplication.cpp:298]: Processing Tick: 1836.2.15.12
[21:36:24][jominiapplication.cpp:298]: Processing Tick: 1836.2.15.18
[21:36:24][jominiapplication.cpp:298]: Processing Tick: 1836.2.16
[21:36:25][jominiapplication.cpp:298]: Processing Tick: 1836.2.16.6
[21:36:25][jominiapplication.cpp:298]: Processing Tick: 1836.2.16.12
[21:36:26][jominiapplication.cpp:298]: Processing Tick: 1836.2.16.18
[21:36:26][jominiapplication.cpp:298]: Processing Tick: 1836.2.17
[21:36:27][jominiapplication.cpp:298]: Processing Tick: 1836.2.17.6
[21:36:28][jominiapplication.cpp:298]: Processing Tick: 1836.2.17.12
[21:36:28][jominiapplication.cpp:298]: Processing Tick: 1836.2.17.18
[21:36:29][jominiapplication.cpp:298]: Processing Tick: 1836.2.18
[21:36:29][jominiapplication.cpp:298]: Processing Tick: 1836.2.18.6
[21:36:30][jominiapplication.cpp:298]: Processing Tick: 1836.2.18.12
[21:36:30][jominiapplication.cpp:298]: Processing Tick: 1836.2.18.18
[21:36:31][jominiapplication.cpp:298]: Processing Tick: 1836.2.19
[21:36:31][jominiapplication.cpp:298]: Processing Tick: 1836.2.19.6
[21:36:32][jominiapplication.cpp:298]: Processing Tick: 1836.2.19.12
[21:36:32][jominiapplication.cpp:298]: Processing Tick: 1836.2.19.18
[21:36:33][jominiapplication.cpp:298]: Processing Tick: 1836.2.20
[21:36:33][jominiapplication.cpp:298]: Processing Tick: 1836.2.20.6
[21:36:34][jominiapplication.cpp:298]: Processing Tick: 1836.2.20.12
[21:36:34][jominiapplication.cpp:298]: Processing Tick: 1836.2.20.18
[21:36:35][jominiapplication.cpp:298]: Processing Tick: 1836.2.21
[21:36:35][jominiapplication.cpp:298]: Processing Tick: 1836.2.21.6
[21:36:36][jominiapplication.cpp:298]: Processing Tick: 1836.2.21.12
[21:36:36][jominiapplication.cpp:298]: Processing Tick: 1836.2.21.18
[21:36:37][jominiapplication.cpp:298]: Processing Tick: 1836.2.22
[21:36:37][jominiapplication.cpp:298]: Processing Tick: 1836.2.22.6
[21:36:38][jominiapplication.cpp:298]: Processing Tick: 1836.2.22.12
[21:36:38][jominiapplication.cpp:298]: Processing Tick: 1836.2.22.18
[21:36:39][jominiapplication.cpp:298]: Processing Tick: 1836.2.23
[21:36:39][jominiapplication.cpp:298]: Processing Tick: 1836.2.23.6
[21:36:40][jominiapplication.cpp:298]: Processing Tick: 1836.2.23.12
[21:36:40][jominiapplication.cpp:298]: Processing Tick: 1836.2.23.18
[21:36:41][jominiapplication.cpp:298]: Processing Tick: 1836.2.24
[21:36:42][jominiapplication.cpp:298]: Processing Tick: 1836.2.24.6
[21:36:42][jominiapplication.cpp:298]: Processing Tick: 1836.2.24.12
[21:36:43][jominiapplication.cpp:298]: Processing Tick: 1836.2.24.18
[21:36:43][jominiapplication.cpp:298]: Processing Tick: 1836.2.25
[21:36:44][jominiapplication.cpp:298]: Processing Tick: 1836.2.25.6
[21:36:44][jominiapplication.cpp:298]: Processing Tick: 1836.2.25.12
